Image name;Acanthastrea;Acanthastrea_echinata;Acropora;Acropora_abrotanoides;Acropora_branching;Acropora_digitifera;Acropora_Robusta;Acropora_tabulate;Astrea;Astreopora;Astreopora_myriophthalma;Astreopora_ocellata;Bleaching;Coscinaraea;Cyphastrea;Dipsastraea;Dipsastraea_matthai;Echinopora;Favites;Favites_complanata;Favites_pentagona;Galaxea;Goniastrea;Goniastrea_stelligera;Gonistrea_pectinata;Hard_coral;Hydnophora;Leptastrea;Leptastrea_purpurea;Montipora;Paramontastraea_peresi;Pavona_venosa;Platygyra;Platygyra_pini;Plesiastrea_versipora;Pocillopora;Pocillopora_grandis_eydouxi;Pocillopora_meandrina;Pocillopora_verrucosa;Porites_branching;Porites_massive;Porites_rus;Psammocora;Psammocora_profundacella;Stylocoeniella;Turbinaria_coral;Turbinaria_irregularis;Cladiella;Echinostrephus_molaris;Lobophytum;Millepora;Molluscs;Sarcophyton;Soft_Coral;Sand;Dead_coral;Hard_Substrate;UNAV;Cyanobacteria;Foraminifera;Unknown;CCA;Dictyosphaeria;Green_turfing_algae;Halimeda;Liagora;Neomeris;Padina;Turbinaria_algae;Turf_algae;Turf_and_sand;Ulva
RUNTRANS1B_07.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;22,222;11,111;0;0;0;0;0;0;0;58,333;0
RUNTRANS1B_08.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;2,778;2,778;5,556;0;0;0;0;0;0;0;86,111;0
RUNTRANS1B_09.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;0;0;0;0;0;0;0;5,556;19,444;5,556;0;0;0;0;0;0;0;63,889;0
RUNTRANS1B_10.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;2,778;25;0;0;0;0;0;0;0;5,556;63,889;0
RUNTRANS1B_11.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;0;0;0;0;0;0;0;2,778;91,667;0
RUNTRANS1B_12.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;58,333;0;0;0;0;0;0;0;22,222;13,889;0
RUNTRANS1B_13.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;5,556;0;0;0;0;0;0;0;11,111;77,778;0
RUNTRANS1B_14.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;97,222;0
RUNTRANS1B_15.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
RUNTRANS1B_16.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
