Transect;Station;Name;Acanthastrea;Acropora;Astrea;Astreopora;Coscinarea;Cyphastrea;Dipsatrea;Favites;Galaxea;Goniastrea;Other Hard Coral;Leptastrea;Montipora;Paramontastrea;Pavona;Platygyra;Pocillopora;Porites;Psammocora;Cladiella;Echinostrephus;Lobophytum;Millepora;Molluscs;Sarcophytum;Other Soft Corals;Sand;Dead Corals;Cyanobacteria;CCA;Dictyosphaeria;Halimeda;Amphiroa;Neomeris;Padina;Turbinaria;Turf;Turf_sand;Ulva
B;1;RUNTRANS1B_09,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,882788925;0;0;0;0;20,5876436;5,882788925;0;0;0;0;0;0;67,64677855;0
B;1;RUNTRANS1B_10,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,85734857;0;0;0;0;25,71408;0;0;0;0;0;0;5,71469714;65,71387429;0
B;1;RUNTRANS1B_11,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,555944441;0;0;0;0;0;0;2,77797222;91,66608334;0
B;1;RUNTRANS1B_12,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61,7646436;0;0;0;0;0;0;23,5292872;14,70606921;0
B;1;RUNTRANS1B_13,jpg;0;0;0;0;0;0;2,85734857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,71469714;0;0;0;0;0;0;11,42836572;79,99958857;0
B;1;RUNTRANS1B_14,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;97,222;0
B;1;RUNTRANS1B_15,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
B;1;RUNTRANS1B_16,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
B;1;RUNTRANS1B_17,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,889;0;0;0;0;0;0;0;0;0;0;86,111;0
B;1;RUNTRANS1B_18,jpg;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97,222;0
B;1;RUNTRANS1B_19,jpg;0;0;0;0;0;0;2,77797222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,555944441;0;0;0;0;0;2,77797222;0;0;0;0;88,88811112;0
B;1;RUNTRANS1B_20,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;0;0;0;0;0;0;0;0;0;0;94,444;0
C;1;RUNTRANS1C_01,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,333;0;0;0;0;0;0;0;0;0;0;91,667;0
C;1;RUNTRANS1C_02,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,77797222;5,555944441;0;0;0;0;0;0;91,66608334;0
C;1;RUNTRANS1C_03,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;97,222;0
C;1;RUNTRANS1C_04,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
C;1;RUNTRANS1C_05,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,333;0;0;0;0;0;0;2,778;88,889;0
C;1;RUNTRANS1C_06,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,333;0;0;0;0;0;0;2,778;0;0;0;88,889;0
C;1;RUNTRANS1C_07,jpg;2,77797222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,555944441;2,77797222;0;0;0;0;0;0;88,88811112;0
C;1;RUNTRANS1C_08,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;97,222;0
