latitude;longitude;incubation;season;sanctuary;locality;site;abc;station;arms_name;prefixe;arms_number;b_m_t;o_c;plate_number;orientation;arms_campain;Image_id;image_name;Foraminifera;Bryozoa;Porifera;Ascidiascea;Annelida;Bivalvia;Biofilms;Other algae;Hydrozoa;Cirripedia;Cyanobacteria;Corallinaceae algae;No recruitment;Sediments
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;BOTTOM;CLOSE;2;DOWN;RUNARMS;1923603;RUNARMS2A_2D.jpg;0;0;7,89;0;5,26;0;7,89;0;2,63;0;15,79;36,84;23,68;0
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;BOTTOM;OPEN;2;UP;RUNARMS;1923604;RUNARMS2A_2U.jpg;4,08;0;14,29;0;4,08;0;0;2,04;0;0;8,16;24,49;4,08;38,78
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;BOTTOM;OPEN;3;DOWN;RUNARMS;1923605;RUNARMS2A_3D.jpg;20,45;2,27;0;0;2,27;2,27;6,82;0;6,82;0;0;43,18;13,64;2,27
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;MIDDLE;CLOSE;3;UP;RUNARMS;1923606;RUNARMS2A_3U.jpg;0;0;2,44;4,88;21,95;0;7,32;0;4,88;0;7,32;19,51;4,88;26,83
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;MIDDLE;CLOSE;4;DOWN;RUNARMS;1923607;RUNARMS2A_4D.jpg;0;0;10,26;12,82;12,82;7,69;2,56;2,56;5,13;0;5,13;20,51;17,95;2,56
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;MIDDLE;OPEN;4;UP;RUNARMS;1923608;RUNARMS2A_4U.jpg;6,12;4,08;8,16;0;6,12;0;8,16;0;2,04;0;8,16;22,45;8,16;26,53
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;MIDDLE;OPEN;5;DOWN;RUNARMS;1923609;RUNARMS2A_5D.jpg;8,16;6,12;0;0;12,24;0;20,41;0;14,29;0;2,04;24,49;12,24;0
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;MIDDLE;CLOSE;5;UP;RUNARMS;1923610;RUNARMS2A_5U.jpg;0;0;5,71;5,71;14,29;0;0;0;5,71;0;14,29;20;2,86;31,43
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;MIDDLE;CLOSE;6;DOWN;RUNARMS;1923611;RUNARMS2A_6D.jpg;3,03;9,09;0;0;6,06;9,09;6,06;0;3,03;0;0;30,3;30,3;3,03
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;MIDDLE;OPEN;6;UP;RUNARMS;1923612;RUNARMS2A_6U.jpg;0;0;4,08;10,2;16,33;0;2,04;4,08;4,08;0;6,12;14,29;0;38,78
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;MIDDLE;OPEN;7;DOWN;RUNARMS;1923613;RUNARMS2A_7D.jpg;6,25;12,5;6,25;0;10,42;2,08;18,75;0;4,17;0;2,08;25;8,33;4,17
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;TOP;CLOSE;7;UP;RUNARMS;1923614;RUNARMS2A_7U.jpg;2,63;0;0;0;28,95;0;10,53;0;2,63;0;5,26;26,32;15,79;7,89
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;TOP;CLOSE;8;DOWN;RUNARMS;1923615;RUNARMS2A_8D.jpg;5,41;2,7;2,7;5,41;10,81;2,7;5,41;0;5,41;0;0;27,03;27,03;5,41
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;TOP;OPEN;8;UP;RUNARMS;1923616;RUNARMS2A_8U.jpg;8,33;6,25;8,33;0;14,58;2,08;0;0;0;0;2,08;39,58;6,25;12,5
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;A;RUNARMS2;RUNA2A;RUNA;2;TOP;OPEN;9;DOWN;RUNARMS;1923617;RUNARMS2A_9D.jpg;2,22;6,67;15,56;0;17,78;6,67;15,56;0;4,44;0;2,22;22,22;2,22;4,44
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;BOTTOM;CLOSE;1;UP;RUNARMS;1929742;RUNARMS2B_1U.jpg;3,03;0;3,03;0;6,06;0;9,09;0;0;0;3,03;24,24;12,12;39,39
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;BOTTOM;CLOSE;2;DOWN;RUNARMS;1929743;RUNARMS2B_2D.jpg;0;20;7,5;0;17,5;0;12,5;0;0;0;0;32,5;7,5;2,5
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;BOTTOM;OPEN;2;UP;RUNARMS;1929744;RUNARMS2B_2U.jpg;21,28;10,64;0;0;2,13;0;2,13;0;0;0;6,38;36,17;2,13;19,15
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;BOTTOM;OPEN;3;DOWN;RUNARMS;1929745;RUNARMS2B_3D.jpg;6,12;14,29;0;0;16,33;2,04;14,29;0;2,04;0;0;30,61;14,29;0
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;MIDDLE;CLOSE;3;UP;RUNARMS;1929747;RUNARMS2B_3U.jpg;2,78;0;2,78;0;22,22;0;2,78;0;0;0;0;30,56;8,33;30,56
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;MIDDLE;CLOSE;4;DOWN;RUNARMS;1929750;RUNARMS2B_4D.jpg;0;5;22,5;0;7,5;0;12,5;0;2,5;0;2,5;25;22,5;0
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;MIDDLE;OPEN;4;UP;RUNARMS;1929754;RUNARMS2B_4U.jpg;21,74;0;4,35;0;6,52;2,17;8,7;0;0;0;2,17;28,26;4,35;21,74
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;MIDDLE;OPEN;5;DOWN;RUNARMS;1929757;RUNARMS2B_5D.jpg;18,37;24,49;2,04;0;10,2;0;8,16;0;8,16;0;0;16,33;12,24;0
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;MIDDLE;CLOSE;5;UP;RUNARMS;1929762;RUNARMS2B_5U.jpg;0;2,78;0;2,78;22,22;0;2,78;0;0;0;2,78;25;11,11;30,56
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;MIDDLE;CLOSE;6;DOWN;RUNARMS;1929766;RUNARMS2B_6D.jpg;2,78;0;5,56;8,33;5,56;0;11,11;0;2,78;0;0;30,56;33,33;0
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;MIDDLE;OPEN;6;UP;RUNARMS;1929767;RUNARMS2B_6U.jpg;8,7;2,17;10,87;0;13,04;0;4,35;0;0;0;0;26,09;2,17;32,61
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;MIDDLE;OPEN;7;DOWN;RUNARMS;1929768;RUNARMS2B_7D.jpg;10,2;16,33;4,08;0;6,12;0;8,16;0;6,12;0;2,04;30,61;10,2;6,12
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;TOP;CLOSE;7;UP;RUNARMS;1929769;RUNARMS2B_7U.jpg;2,63;2,63;0;0;26,32;0;0;2,63;2,63;0;2,63;26,32;2,63;31,58
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;TOP;CLOSE;8;DOWN;RUNARMS;1929770;RUNARMS2B_8D.jpg;5,41;13,51;0;2,7;2,7;0;0;0;5,41;0;5,41;48,65;13,51;2,7
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;TOP;OPEN;8;UP;RUNARMS;1929771;RUNARMS2B_8U.jpg;8,33;6,25;8,33;0;4,17;0;4,17;0;6,25;0;2,08;27,08;12,5;20,83
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;B;RUNARMS2;RUNA2B;RUNA;2;TOP;OPEN;9;DOWN;RUNARMS;1929774;RUNARMS2B_9D.jpg;8,33;16,67;8,33;0;4,17;0;2,08;0;10,42;0;4,17;27,08;16,67;2,08
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;BOTTOM;CLOSE;1;UP;RUNARMS;1931109;RUNARMS2C_1U.jpg;6,06;0;0;0;24,24;0;0;0;6,06;0;0;30,3;3,03;30,3
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;BOTTOM;CLOSE;2;DOWN;RUNARMS;1931110;RUNARMS2C_2D.jpg;25,71;0;0;0;5,71;0;14,29;0;8,57;0;2,86;28,57;14,29;0
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;BOTTOM;OPEN;2;UP;RUNARMS;1931111;RUNARMS2C_2U.jpg;10,42;0;10,42;0;6,25;0;2,08;0;0;0;2,08;33,33;2,08;33,33
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;BOTTOM;OPEN;3;DOWN;RUNARMS;1931112;RUNARMS2C_3D.jpg;16;0;2;0;4;0;12;0;6;0;0;38;10;12
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;MIDDLE;CLOSE;3;UP;RUNARMS;1931113;RUNARMS2C_3U.jpg;0;0;2,78;0;36,11;0;2,78;2,78;2,78;0;0;13,89;2,78;36,11
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;MIDDLE;CLOSE;4;DOWN;RUNARMS;1931114;RUNARMS2C_4D.jpg;14,63;0;4,88;0;12,2;0;12,2;0;7,32;0;2,44;14,63;29,27;2,44
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;MIDDLE;OPEN;4;UP;RUNARMS;1931115;RUNARMS2C_4U.jpg;6,12;0;2,04;4,08;0;0;8,16;0;4,08;0;0;20,41;36,73;18,37
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;MIDDLE;OPEN;5;DOWN;RUNARMS;1931116;RUNARMS2C_5D.jpg;24,49;0;0;0;4,08;0;8,16;0;8,16;0;0;22,45;24,49;8,16
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;MIDDLE;CLOSE;5;UP;RUNARMS;1931117;RUNARMS2C_5U.jpg;9,3;0;0;11,63;9,3;0;4,65;0;2,33;0;2,33;18,6;4,65;37,21
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;MIDDLE;CLOSE;6;DOWN;RUNARMS;1931118;RUNARMS2C_6D.jpg;2,63;0;0;10,53;7,89;7,89;7,89;0;10,53;0;2,63;34,21;15,79;0
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;MIDDLE;OPEN;6;UP;RUNARMS;1931119;RUNARMS2C_6U.jpg;18;0;2;8;6;0;4;2;4;0;0;20;2;34
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;MIDDLE;OPEN;7;DOWN;RUNARMS;1931120;RUNARMS2C_7D.jpg;28;0;0;0;18;0;4;0;2;0;2;26;8;12
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;TOP;CLOSE;7;UP;RUNARMS;1931121;RUNARMS2C_7U.jpg;8,11;0;2,7;2,7;24,32;2,7;0;0;10,81;0;0;24,32;8,11;16,22
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;TOP;CLOSE;8;DOWN;RUNARMS;1931122;RUNARMS2C_8D.jpg;7,32;0;0;9,76;14,63;2,44;14,63;0;7,32;0;0;36,59;7,32;0
-21,10401;55,23598;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;TOP;OPEN;8;UP;RUNARMS;1931123;RUNARMS2C_8U.jpg;19,15;0;4,26;0;2,13;0;8,51;0;2,13;0;0;34,04;0;29,79
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire N;C;RUNARMS2;RUNA2C;RUNA;2;TOP;OPEN;9;DOWN;RUNARMS;1931124;RUNARMS2C_9D.jpg;22;0;26;0;12;2;6;0;8;0;0;20;2;2
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;BOTTOM;CLOSE;1;UP;RUNARMS;1964316;RUNARMS3A_1U.jpg;5,26;0;0;0;44,74;0;2,63;0;2,63;0;0;21,05;2,63;21,05
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;BOTTOM;CLOSE;2;DOWN;RUNARMS;1964317;RUNARMS3A_2D.jpg;23,68;0;0;2,63;5,26;0;18,42;0;5,26;0;0;13,16;31,58;0
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;BOTTOM;OPEN;2;UP;RUNARMS;1964319;RUNARMS3A_2U.jpg;32,61;0;0;0;23,91;0;2,17;2,17;0;0;2,17;17,39;0;19,57
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;BOTTOM;OPEN;3;DOWN;RUNARMS;1964320;RUNARMS3A_3D.jpg;27,66;0;0;0;34,04;0;8,51;0;2,13;0;0;25,53;0;2,13
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;MIDDLE;CLOSE;3;UP;RUNARMS;1964321;RUNARMS3A_3U.jpg;0;0;6,25;0;18,75;0;6,25;3,13;0;0;3,13;15,63;18,75;28,13
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;MIDDLE;CLOSE;4;DOWN;RUNARMS;1964322;RUNARMS3A_4D.jpg;0;27,78;8,33;8,33;13,89;0;8,33;0;0;0;2,78;16,67;11,11;2,78
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;MIDDLE;OPEN;4;UP;RUNARMS;1964323;RUNARMS3A_4U.jpg;0;4;2;0;14;0;12;2;18;0;0;22;16;10
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;MIDDLE;OPEN;5;DOWN;RUNARMS;1964325;RUNARMS3A_5D.jpg;4,26;14,89;0;6,38;29,79;0;10,64;0;2,13;0;0;17,02;6,38;8,51
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;MIDDLE;CLOSE;5;UP;RUNARMS;1964326;RUNARMS3A_5U.jpg;5,88;0;0;0;14,71;0;11,76;0;2,94;0;0;23,53;2,94;38,24
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;MIDDLE;CLOSE;6;DOWN;RUNARMS;1964327;RUNARMS3A_6D.jpg;2,86;14,29;8,57;40;5,71;0;2,86;0;0;0;0;8,57;14,29;2,86
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;MIDDLE;OPEN;6;UP;RUNARMS;1964329;RUNARMS3A_6U.jpg;0;10,87;8,7;6,52;15,22;2,17;2,17;0;0;0;0;28,26;4,35;21,74
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;MIDDLE;OPEN;7;DOWN;RUNARMS;1964330;RUNARMS3A_7D.jpg;21,28;10,64;6,38;12,77;12,77;0;8,51;0;0;0;0;19,15;8,51;0
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;TOP;CLOSE;7;UP;RUNARMS;1964331;RUNARMS3A_7U.jpg;9,09;3,03;3,03;0;12,12;0;3,03;0;0;0;3,03;42,42;6,06;18,18
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;TOP;CLOSE;8;DOWN;RUNARMS;1964417;RUNARMS3A_8D.jpg;21,62;2,7;8,11;37,84;8,11;0;0;0;2,7;0;0;8,11;5,41;5,41
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;TOP;OPEN;8;UP;RUNARMS;1964334;RUNARMS3A_8U.jpg;30;0;4;0;12;4;6;0;4;0;0;22;4;14
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;A;RUNARMS3;RUNA3A;RUNA;3;TOP;OPEN;9;DOWN;RUNARMS;1964337;RUNARMS3A_9D.jpg;48;0;12;0;16;0;8;0;2;0;0;10;2;2
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;B;RUNARMS3;RUNA3B;RUNA;3;BOTTOM;CLOSE;1;UP;RUNARMS;1966880;RUNARMS3B_1U.jpg;2,78;0;0;0;38,89;0;5,56;0;2,78;0;2,78;25;8,33;13,89
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;B;RUNARMS3;RUNA3B;RUNA;3;BOTTOM;CLOSE;2;DOWN;RUNARMS;1966881;RUNARMS3B_2D.jpg;2,44;12,2;7,32;0;12,2;0;17,07;0;4,88;0;2,44;12,2;29,27;0
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;B;RUNARMS3;RUNA3B;RUNA;3;BOTTOM;OPEN;2;UP;RUNARMS;1966882;RUNARMS3B_2U.jpg;8;4;2;0;4;0;2;0;2;0;2;36;2;38
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;B;RUNARMS3;RUNA3B;RUNA;3;BOTTOM;OPEN;3;DOWN;RUNARMS;1966883;RUNARMS3B_3D.jpg;22,92;14,58;4,17;0;8,33;0;8,33;0;6,25;0;0;20,83;4,17;10,42
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;B;RUNARMS3;RUNA3B;RUNA;3;MIDDLE;CLOSE;3;UP;RUNARMS;1966884;RUNARMS3B_3U.jpg;2,78;5,56;2,78;0;19,44;8,33;2,78;2,78;0;0;0;27,78;8,33;19,44
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;B;RUNARMS3;RUNA3B;RUNA;3;MIDDLE;CLOSE;4;DOWN;RUNARMS;1966885;RUNARMS3B_4D.jpg;2,56;12,82;10,26;2,56;15,38;0;10,26;0;0;0;0;28,21;15,38;2,56
-21,10411;55,23604;2;ETE;OUI;La Saline;Sanctuaire S;B;RUNARMS3;RUNA3B;RUNA;3;MIDDLE;OPEN;4;UP;RUNARMS;1966886;RUNARMS3B_4U.jpg;6,12;8,16;16,33;0;4,08;0;6,12;0;0;0;0;30,61;4,08;24,49
