"","Acanthastrea","Acanthastrea_echinata","Acropora","Acropora_abrotanoides","Acropora_branching","Acropora_digitifera","Acropora_Robusta","Astrea","Astreopora","Astreopora_myriophthalma","Astreopora_ocellata","Coscinaraea","Cyphastrea","Dipsastraea","Dipsastraea_matthai","Echinopora","Favites","Favites_pentagona","Galaxea","Goniastrea","Goniastrea_stelligera","Gonistrea_pectinata","Hard_coral","Hydnophora","Leptastrea","Leptastrea_purpurea","Montipora","Paramontastraea_peresi","Pavona_venosa","Platygyra","Platygyra_pini","Plesiastrea_versipora","Pocillopora","Pocillopora_grandis_eydouxi","Pocillopora_meandrina","Pocillopora_verrucosa","Porites_branching","Porites_massive","Porites_rus","Psammocora","Psammocora_profundacella","Stylocoeniella","Turbinaria_coral","Turbinaria_irregularis","Cladiella","Echinostrephus_molaris","Lobophytum","Millepora","Molluscs","Sarcophyton","Soft_Coral","Sand","Dead_coral","Hard_Substrate","Cyanobacteria","Foraminifera","CCA","Dictyosphaeria","Green_turfing_algae","Halimeda","Liagora","Neomeris","Padina","Turbinaria_algae","Turf_algae","Turf_and_sand","Ulva"
"4B",0,0,0.13889861101389,0.142865959022464,0.290426721721012,0,0,0,0.428555265269178,0.138897222055559,0.870553607984448,0,0,0.13889861101389,0,0,0,0.428602285467431,0.615793556868704,0,0,1.29910740375672,0,0,0,0,0,0,0.142865959022464,0.13889861101389,0,0.277794444111118,2.41893664496788,0.710312408458817,1.13560067260389,1.3067139605279,0,1.71150476983158,0,0,0.142865959022464,0,0,0,2.59740186463687,1.28230645561379,0,1.13495036480264,0,0.13889861101389,0.142868897986053,1.5845048666972,0.142865959022464,0,0.1389,0,7.91151229050025,0,0,0,0.277797222055559,0,2.6793361006989,0,19.2617104015054,49.7960483298256,0.432805961908196
"4C",0.142867428489144,0,0,0,0,0,0,0,0,1.42068816042714,0,0.138897222055559,0.27779722202778,0.151525068726273,0,0,0,0,0,0,0,0,0.27779861101389,0,0.142867428489144,0,0,0,0,0,0,0,1.27833029801084,1.60368249838622,0,3.26855164518491,0,2.26209804186826,0,0.312524609344238,0,0,0,0,0,2.63096986317303,0,1.14284832651046,0,0,0,1.97294500751758,0.156262304672119,0,0.4167,0,6.2636086379617,0,0,0,0.733491280001279,0,4.84370307709745,0,4.53402602140381,66.0278172476392,0
"5A",0,0,0,0.601645025109649,0,0,0,0.59341927253154,0,1.72038696127285,0,0,0.428602285467431,0.27779861101389,0,0.307787268464178,0,0,0,0,0,0.437003760361324,0.499976000191998,0,0,0,0.428550857307427,0,0,0,0,0,1.68328581679349,0.874195674731325,0.294136331872181,1.7119920141939,0,4.17461680115885,0,0,0.13889861101389,0,0.27779722202778,0,0,1.1230981185091,0,0,0.151526721721012,0.55554861101389,0,1.82174346870868,0.142867428489144,0,0,0,4.26122128803605,0,0,0,1.13175463376875,0,3.29190188129525,0,12.8179795594637,60.2522657754828,0
"5B",0,0,0,0.833394444055559,0,0.13889861101389,0,0,0.1389,0.62206420345266,0.706348079335207,0,0,0.285734856978287,0,0,0.281766039503033,0,0.312517577707529,0,0,0.312517577707529,0,0,0.138897222055559,0,0,0,0.13889861101389,0,0,0,1.71234030030169,0.833295833541665,1.67461802918382,0,0,7.31947917208887,0,0,0.28596677694998,0,0,0,4.1238741899627,0.837357705641931,0.285731918044927,0,0,0.142867428489144,0,1.13125917860906,0.142868897986053,0,0.13889861101389,0,5.57970612544265,0.142865959022464,0,0.13889861101389,0.14706816593609,0,0.841329301033846,0,14.3641695397502,56.247467033164,0
"5C",0,0,0,0.156258788853765,0,0,0,0,6.8505876544161,1.54511521336958,0,0,0,0.833388888166677,0.27779722202778,0,0,0,0.694448610652783,0.299124747876228,0,0.281767348036354,0.733183536757773,0,0,0,0.55554861101389,0,0,0,0,0,0.889442406064328,0.13889861101389,0,2.42119995118956,0,5.46580651056525,0,0,0,0,0.13889861101389,0.156258788853765,0,1.56504442268669,0.142867428489144,0.416654166541665,0,0.13889861101389,0,0.710368324970464,0.416645833541665,0,0,0,3.67460889129184,0,0,0.13889861101389,0.885472199602964,0,1.98173596698278,0,5.25593304109702,63.0962497808408,0.138897222055559
"6A",0,0,0,0,0,0,0,0,2.41786356177787,1.80553194468055,0,0,0,0,0,0,0,0.138897222055559,0,0,0.606657425358512,0,0.156262304672119,0,0,0,0,0,0.13889861101389,0,0,0,1.86880162896655,0,0,0.416641667166657,0,27.3581586615115,0,0,0,0,0,0,0.833341666583334,0.27779722202778,0.277794444111118,0.14706816593609,0.147069723119276,0,0.14706816593609,10.5782303892707,0.312521093486331,0,0,0,3.83175392502765,0,0,0.281768897986053,1.13570811683182,0,0.27779722202778,0,3.70060075320177,42.9966974641317,0.147069723119276
"6B",0,0,0,0,0,0,0,0.27779722202778,7.1406072973493,2.13894327762589,0,0,0,0.567498038056309,0,0,0,0,0,0.980181918044927,0,0,0.416693055125008,0,0,0,0,0,0.13889861101389,0,0,0,2.3297002731651,0,0,0.13889861101389,0.996045956430377,15.2331300080081,0.424634857008516,0,0,0,0,0,0,0.420664650516923,0,1.11108888911111,0,0.138897222055559,0,2.99470406329061,0.580358068735125,0,0,0,8.14845415047827,0,0,0,1.28698663777702,0,0.559559014147471,0,7.07616579770929,46.9000923813095,0
"6C",0,0,0,0.13889861101389,0,0,0,0,4.63566357557834,0,0,0,0,0.13889861101389,0,0,0,0,0.142865959022464,0,0,0,0.13889861101389,0,0,0,0,0.694443055569444,0,0,0,0,3.10716701117218,0,0,0,1.12696999679689,27.4782368325525,0,0,0,0,0,0,1.5089796841125,0.313747946802108,0,0,0,0,0,5.04769312075807,0,0,0,0,8.65451529308213,0,0,0,1.02288794899012,0,0,0.13889861101389,6.56175104969593,39.1494840818118,0
"7A",0.146209064225147,0,0.159500072343445,0,0,0,0,0,0.460270512390737,0,1.94314765060409,0,0,0.624709281255483,0,0,0.95225328200108,0,0,0,0,0.150388313669529,0.159500072343445,0,0,0,0.748196138812822,0,0,0,0,0,0.779524736101265,2.58127350337368,0.460002411468047,2.28267436132607,0,4.5913957535824,0,0.159500072343445,0.154810234862396,0,0.150388313669529,0,2.19297488021495,0.593188568497586,1.43540843842619,0.159500072343445,0,0.765389182568262,0.146209064225147,1.48760032816576,0,0,0,0,0.921043962883326,1.81468639772762,0,0.159500072343445,0.765400832557927,0,0,0.778691840676225,12.8003336558589,59.1753112691913,0.301017659947348
"7B",0,0,0.142867428489144,0.281766039503033,0,0,0,0,0.620245186623473,0.156260546743166,0.437000821458193,0.424865556188725,0,0.593260011829891,0,0,0.590315537597449,0.432801641194431,0,0,0,0,0.147069723119276,0,0,0,0,0.142867428489144,0,0,0,0.312517577707529,1.17313881110007,0.857802062034438,1.75862485542643,4.11638693401006,0,1.60553483901701,0,0,0,0,0.277794444111118,0,3.2971059814013,0.138897222055559,0.156260546743166,0,0.281764650544702,1.16827940216038,0,2.30439156755999,1.63591399946968,0,0,0,5.38682060993515,1.59428231429378,0,0.142864489586012,1.16723897696814,0,0,0.142867428489144,9.65459231203583,56.9542779842482,1.90332306986636
"7C",0,0,0,0.317479908938808,0,0.154330246728399,0,0,0,0.827177494294879,0.472074383496728,0.158739954469404,0,0.317481541679563,0,0,0.341985853849086,0,0,0,0,0,0.154331790015433,0,0.158739954469404,0.158739954469404,0,0,0,0,0,0,3.02352122807757,0.793642630534756,1.46124307693076,3.63907596928296,0,1.12513503783256,0,0,0.163409073262323,0,0.326821606968364,0,3.22157971020432,0.308663580030866,1.26981841288127,0,0,0,0,2.75706631275173,1.43385262426922,0,0.158741587210159,0,4.47050996872095,1.12539800624142,0,0.46740353450027,2.83511015229564,0,0,0.793962456889507,19.8370082590318,46.3112627250448,1.4156929646276
"8A",0,0,0,10.7410116618137,1.80430458217498,0,1.23807295255924,0,0.14706816593609,0.322603121516165,0,0,0,0,0,0,0,0,0,0,0,0,0.931784458247055,0,0,0,0,0,0,0,0,0,1.63346694177761,0,0.294136331872181,0,0,3.40731022585653,0.909376000106365,0,0.618089009422165,0,0,0,0,0.622117673463305,0.333353332933341,0.166676666466671,0,0,0.588225951612049,3.89436218746562,0.312521093486331,0,0.749781019190892,0.172424494457341,26.2139993159624,0.333726055215423,0.303050137452546,0,0.151526721721012,0,0,0,6.8500328554594,37.2609790438316,0
"8B",0,0.294136331872181,0,0,0,0,0,0,1.32909818007959,1.44114032810511,0,0,0,0,0,0,0,0.43749634906171,0,0,0,0,0.14706816593609,0,0,0,0,0,0,0,0,0,0.606053994658653,0,0,0,0,4.67295797418478,0,0,0,0,0.459592775280329,0,0,0.580362484343321,0,0,0,0,2.41982344228381,6.58782930118054,0.303053443478089,0,0,0,22.4073733454542,0,0,0,0.142867428489144,0,0,0,4.41291758565856,53.7582288699339,0
"8C",0,0,0,1.4430362592129,0,0,15.6345578294494,0,0,0,0,0,0,0,0,0,0,0,0.161299687619755,0,0,0.161299687619755,0.74242936867473,0.166678666570667,0,0,0,0,0,0,0,0,1.95852088578137,0,0,0,0,2.07457608935184,0,0,0.161299687619755,0,0,0,0,0,0,1.08424980289948,0,0,2.2216388784602,2.83612011497218,0.465466803728654,0,0.156260546743166,0,35.3387116179909,0.630970975115516,0,0,0.974103970290848,0,0,0,14.6577122816612,18.8268997301288,0.304167116108899
"9A",0,0,0,14.3287450112237,0,0.281767508999942,0,0.865791428639521,0.161301560758082,0.870535975351543,0,0,0,0.294136331872181,0,0,0.161301560758082,0,0.142867428489144,1.32353564016772,0,0,0.736131823310139,0,0,0,0,0.285731918044927,0.285734856978287,0,0.142868897986053,0,3.82641136822093,0,0,0,0,1.61765795834745,0.303050137452546,0,0.285728979172024,0,0,0,3.60081761582259,0,0,0,0,0,1.04330271701512,1.72622056476838,1.02524052417372,0,0,0,18.515594346477,0,0,1.59670124595491,7.00302560871237,0,0,0,8.22318132808588,31.3526176632178,0
"9B",0,0,0,30.7557048874104,0.476172516965753,1.6249129181593,0,0.476221496148967,0,0.939169206108511,0,0,0,0,0,0,0.158741587210159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2599027854103,0,0,0,0,0.317483174420319,0,0,0,0,0,0,0.327102774683796,0,0,0,0,0,0.952392380860953,1.9047814962404,0.158739954469404,0,0,0,20.7540822681475,1.90478802727059,0,2.03272730110591,2.55898914279453,0,0,0,11.739144800867,20.6589432817262,0
"9C",0,0,0,11.0835494245589,0,0,0,0.285734856978287,0,0.722738617339611,0,0,0,0,0,0,0.289937063922143,0,0.142867428489144,0,0,0.416654166541665,0.285734856978287,0,0,0,0,0,0.14706816593609,0,0,0,5.3641415990941,0,0.142867428489144,0,0,0.433037720886071,0,0,0,0,0,0,5.23603242817727,0,0,0,0,0,0,2.96033330176726,0,0,0,0,16.7401650849043,0.14706816593609,0,2.04429656431149,6.30611452411814,0,0,0,9.15645772765697,38.0952008739149,0
