"Bivalvia","Calc_worm_tube","Hydrozoa","msp10_spo","msp11_spo","msp12_spo","msp15_spo","msp14_spo","msp16_spo","msp18_spo","msp19_spo","msp1_spo","msp20_spo","msp21_spo","msp22_spo","msp23_spo","msp24_spo","msp25_spo","msp26_spo","msp27_spo","msp28_spo","msp29_spo","msp2_spo","msp30_spo","msp31_spo","msp33_spo","msp34_spo","msp35_spo","msp36_spo","msp3_spo","msp4_spo","msp5_spo","msp7_spo","msp8_spo","msp9_spo","Pina_sp","Cirripedia","Soft_worm_tube","Miniacina_sp_.r._for","Miniacina_sp_.a._for","Miniacina_sp_.j._for","Parasmittina_margaritata_bryo","msp12_bryo","msp14_bryo","Schizomavella_sp_bryo","Smittoidea_cautela_bryo","Watersipora_subtorquata_bryo","Smittipora_harmeriana_bryo","Disporella_novaehollandiae_bryo","msp5_bryo","Crisia_elongata_bryo","Tubulipora_sp_bryo","Scrupocellaria_sp_bryo","Red_biofilm","Green_biofilm","Cyanobacteria","Lissoclinum_sp1_ascc","Didemnidae_sp1_ascc","Lissoclinum_sp2_ascc","Cystodystes_sp_ascc","Polysyncraton_milleporae_ascc","Botryllus_sp1_ascc","msp15_ascc","Botryllus_gregalis_ascc","msp17_ascc","Botryllus_sp2_ascc","Aplidium_sp_ascc","Polycarpa_sp_ascs","Trididemnum_sp_ascc","Botryllus_sp3_ascc","Eusynstyela_hartmeyeri_ascc","msp2_ascs","Botryllus_sp4_ascc","Styela_canopus_ascs","Didemnidae_sp2_ascc","Ascidia_sydneiensis_ascs","Botryllus_sp5_ascc","msp5_ascs","Polysyncraton_rostrum_ascc","msp6_ascs","msp7_ascc","Didemnidae_sp3_ascc","Ascidia_fictile_ascs","msp9_ascc","msp9_ascs","Brown_upright_macroalgae","CCA","Green_encr_macroalgae","Green_upright_macroalgae","Red_upright_Macroalgae"
0,5.264,15.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.632,0,0,0,0,0,0,0,0,0,2.632,18.421,10.526,7.894,0,2.632,2.632,2.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.947,0,0,0
0,30.769,7.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.539,0,0,0,0,0,0,0,0,7.692,0,0,0,0,0,0,0,0,0,0,3.847,0,0,0,7.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.769,0,0,0
0,5.406,16.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,21.622,0,0,2.703,0,8.108,2.703,0,0,0,0,0,0,0,0,0,0,0,10.811,0,0,0,0,0,0,0,0,0,0,8.108,0,0,0,0,0,0,0,21.622,0,0,0
0,13.637,0,0,0,4.545,0,0,0,0,0,0,0,0,0,0,0,0,13.637,4.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.273,0,0,0,0,4.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.818,0,0,0
0,11.364,6.818,0,0,4.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.091,0,0,0,0,0,0,0,0,6.818,0,0,0,0,0,0,0,0,0,6.818,13.636,6.818,2.272,4.546,6.818,4.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.909,0,0,0
0,45.834,8.333,0,0,0,0,0,0,0,0,0,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.167,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666,0,0,0
0,4.166,8.333,0,0,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.168,0,0,0,12.5,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.668,0,0,0
0,36,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
0,9.678,48.387,6.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.226,0,0,0,6.452,6.452,3.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.902,0,0,0
8.694,43.479,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.348,0,0,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.435,0,0,0
0,0,4.547,0,0,0,0,0,0,0,0,0,4.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,4.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,9.09,13.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.547,0,40.907,0,0,0
8.333,20.833,20.833,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.167,4.167,0,0,0,0,0,0,0,0,0,4.167,0,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.833,0,0,0
4.255,0,2.128,0,0,0,31.915,0,0,0,0,0,8.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.383,0,0,0,0,0,0,0,0,0,0,4.255,12.766,0,0,8.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.277,0,0,0
0,45.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545,0,0,0,0,13.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.363,0,0,0
0,5.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.78,0,0,5.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.112,0,0,0
11.537,15.383,7.693,0,0,0,7.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.693,0,0,0,0,0,0,0,0,7.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.307,0,0,0
0,0,3.572,0,0,0,3.572,0,0,0,0,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.429,0,0,0,0,0,0,0,0,0,0,0,17.857,0,0,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.427,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,31.999,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.999,0,0,0
0,4.167,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,4.167,0,0,0,0,0,0,0,0,0,0,12.5,8.333,4.167,0,4.167,0,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.168,0,0,0
0,4.348,13.042,0,0,0,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.696,0,0,0,0,0,0,0,0,0,0,4.348,4.348,0,0,8.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.173,0,0,0
2.858,2.858,11.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.285,0,0,0,0,0,0,0,0,0,0,14.285,14.285,0,5.715,11.428,2.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.715,0,0,0,0,0,0,0,0,0,0,0,14.285,0,0,0
0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
0,18.919,8.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.405,0,0,0,0,8.108,0,0,13.514,0,0,0,16.216,5.405,2.703,0,5.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.216,0,0,0
0,3.226,3.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.452,0,0,0,0,0,0,0,0,0,0,22.581,0,0,0,0,0,0,0,0,16.129,0,0,0,9.677,0,9.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.032,0,0,0
0,10.638,10.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.128,0,21.277,0,0,0,0,0,0,0,0,0,0,0,0,19.149,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,0
0,22.222,0,0,0,11.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.704,0,0,0,0,0,0,0,0,0,0,7.407,0,0,0,0,0,0,0,0,7.407,11.111,0,0,0,3.704,22.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111,0,0,0
0,10.344,3.448,0,0,3.448,0,0,0,0,0,3.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448,0,0,17.242,0,0,0,10.344,0,3.448,0,3.448,0,0,0,0,0,0,0,0,0,6.896,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448,0,0,0,0,27.588,0,0,0
0,0,0,7.143,0,28.571,0,0,0,0,0,0,3.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571,3.571,0,0,0,0,3.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571,46.429,0,0,0
0,2.273,2.273,0,0,0,6.818,0,0,0,0,0,4.545,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,2.273,0,0,4.545,0,0,0,0,0,11.364,0,0,0,0,0,0,0,0,0,2.273,0,0,0,0,4.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.273,31.818,0,0,0
0,25.927,0,7.407,0,0,7.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703,0,3.703,0,0,0,0,0,0,0,0,7.407,0,11.11,0,0,0,7.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407,18.52,0,0,0
0,9.677,0,0,0,3.226,0,0,3.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.677,0,0,0,16.129,3.226,0,0,0,0,0,0,0,0,6.452,0,0,0,0,0,0,0,0,0,0,12.903,0,0,0,0,0,0,0,0,0,0,0,32.258,0,0,0
0,19.23,0,0,0,7.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.537,0,0,0
0,40.541,8.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.703,0,5.405,0,0,0,0,0,0,0,0,0,0,0,0,10.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.703,0,0,0,0,29.73,0,0,0
0,3.572,10.714,3.572,0,3.572,0,0,0,0,0,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.572,0,0,0,7.142,0,0,0,3.572,0,0,0,0,0,0,0,0,0,0,3.572,0,0,0,0,3.572,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.424,0,0,0
0,12.5,3.125,0,0,6.25,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,9.375,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,28.125,0,0,0
0,0,2.326,0,0,0,0,0,0,0,0,0,2.326,0,0,0,4.652,6.976,0,0,0,0,0,0,0,0,0,0,0,25.581,0,0,0,0,6.976,0,0,0,0,0,0,0,0,0,0,0,0,0,4.652,0,0,0,0,0,9.302,13.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.93,0,0,2.326
0,19.048,9.523,0,0,4.762,0,0,0,0,0,0,2.381,0,0,0,2.381,2.381,0,0,0,0,0,0,0,0,0,0,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523,7.142,0,0,0,11.905,4.762,7.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.286,0,0,0
